DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
UF de residência: Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins
Período:2014-2025
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"290687 CAPIM GROSSO";-;5;50;110;4;1;272;342;1;11;18;1372;17;2203
"290689 CARAIBAS";-;1;2;43;-;-;-;3;-;3;6;480;17;555
"290690 CARAVELAS";-;9;47;222;14;3;20;105;6;10;20;203;69;728
"290700 CARDEAL DA SILVA";-;3;6;42;-;-;126;13;-;-;2;14;11;217
"290710 CARINHANHA";-;35;2;255;-;181;4;94;279;289;109;2502;159;3909
"290720 CASA NOVA";-;341;371;311;3;353;25;300;11;390;43;425;240;2813
"290730 CASTRO ALVES";-;9;133;49;3;-;33;43;1;3;48;142;13;477
"290740 CATOLANDIA";-;2;25;-;2;-;-;-;48;-;4;37;-;118
"290750 CATU";-;12;31;4;2;6;77;165;14;21;39;199;30;600
"290755 CATURAMA";-;-;16;38;2;4;213;17;6;45;9;268;26;644
"290760 CENTRAL";-;1;3;7;-;2;18;89;7;144;4;70;6;351
"290770 CHORROCHO";-;20;388;2;1;-;18;15;-;412;15;370;2;1243
"290780 CICERO DANTAS";-;16;107;209;-;-;37;73;5;4;6;210;31;698
"290790 CIPO";-;-;-;-;-;-;15;48;-;1;-;14;3;81
"290800 COARACI";-;7;91;229;74;8;12;53;232;163;36;642;123;1670
"290810 COCOS";-;1;-;-;-;-;2;1;41;18;153;1616;3;1835
"290820 CONCEICAO DA FEIRA";-;36;12;2;1;-;146;566;4;-;34;23;2;826
"290830 CONCEICAO DO ALMEIDA";-;12;2;2;-;-;43;102;-;3;50;233;6;453
"290840 CONCEICAO DO COITE";-;11;403;371;1;1;72;667;9;5;7;144;335;2026
"290850 CONCEICAO DO JACUIPE";-;104;101;13;2;6;314;604;8;21;55;909;10;2147
"290860 CONDE";-;2;7;2;1;-;66;37;3;3;10;84;5;220
"290870 CONDEUBA";-;12;10;26;2;-;13;238;2;11;23;1917;121;2375
"290880 CONTENDAS DO SINCORA";-;1;14;4;1;-;13;119;5;2;10;31;2;202
"290890 CORACAO DE MARIA";-;106;86;4;-;13;882;298;2;-;41;117;23;1572
"290900 CORDEIROS";-;-;-;3;1;-;-;4;2;11;23;96;104;244
"290910 CORIBE";-;9;24;22;-;4;197;151;105;16;18;491;29;1066
"290920 CORONEL JOAO SA";-;8;23;322;-;-;19;87;23;212;3;60;3;760
"290930 CORRENTINA";3;110;93;101;14;675;1187;322;464;200;38;1677;62;4946
"290940 COTEGIPE";-;-;1;-;4;4;35;45;46;49;10;245;20;459
"290950 CRAVOLANDIA";-;-;1;-;-;-;2;46;-;-;-;51;-;100
"290960 CRISOPOLIS";1;83;23;1;-;-;49;12;-;-;80;117;5;371
"290970 CRISTOPOLIS";-;5;74;32;5;6;168;5;34;51;17;143;4;544
"290980 CRUZ DAS ALMAS";-;40;37;8;2;2;214;208;6;2;134;181;47;881
"290990 CURACA";-;8;4;3;1;-;7;154;5;25;7;126;15;355
"291000 DARIO MEIRA";-;1;4;31;1;-;6;70;73;2;19;40;3;250
"291005 DIAS D'AVILA";-;19;38;19;59;23;53;58;18;36;26;81;42;472
"291010 DOM BASILIO";-;4;4;2;-;46;30;40;1;2;22;74;29;254
"291020 DOM MACEDO COSTA";-;-;1;3;-;-;30;30;-;-;1;46;5;116
"291030 ELISIO MEDRADO";-;1;2;1;-;-;1;23;2;-;-;52;2;84
"291040 ENCRUZILHADA";-;2;5;172;3;-;22;127;7;15;48;664;45;1110
"291050 ENTRE RIOS";-;1;21;8;-;-;343;204;-;-;5;105;11;698
"291060 ESPLANADA";-;5;44;1;2;-;288;203;8;9;30;172;8;770
"291070 EUCLIDES DA CUNHA";-;146;812;353;3;14;1452;398;2;65;7;277;642;4171
"291072 EUNAPOLIS";-;27;120;684;526;42;82;667;8;489;2484;721;448;6298
"291075 FATIMA";-;23;23;15;1;2;77;96;4;26;8;91;4;370
"291077 FEIRA DA MATA";-;13;8;13;-;-;2;11;47;52;6;176;1;329
"291080 FEIRA DE SANTANA";1;901;1824;270;150;640;11816;3255;169;426;3087;8294;447;31280
"291085 FILADELFIA";-;10;26;3;1;-;10;45;1;10;5;19;17;147
"291090 FIRMINO ALVES";-;-;5;100;10;-;4;85;-;28;6;56;4;298
"291100 FLORESTA AZUL";-;5;36;163;4;6;9;10;-;503;12;57;552;1357
"291110 FORMOSA DO RIO PRETO";-;5;3;1;1;3;3;1;860;235;94;136;18;1360
"291120 GANDU";-;4;37;4;-;2;7;102;16;87;49;80;65;453
"291125 GAVIAO";-;-;8;4;6;-;13;37;-;26;3;28;1;126
"291130 GENTIO DO OURO";-;-;3;1;-;54;52;12;19;35;16;462;75;729
"291140 GLORIA";-;7;145;119;8;3;42;27;-;7;8;66;10;442
"291150 GONGOGI";-;2;2;8;61;1;-;18;1;26;24;57;4;204
"291160 GOVERNADOR MANGABEIRA";-;2;65;17;1;32;509;155;6;4;78;59;10;938
"291165 GUAJERU";-;1;17;2;-;-;1;13;-;-;-;322;1;357
"291170 GUANAMBI";-;8;33;38;1;10;22;238;463;90;59;3934;156;5052
"291180 GUARATINGA";-;3;27;45;12;1;-;17;1;6;59;82;12;265
"291185 HELIOPOLIS";-;4;19;12;-;-;6;25;1;1;-;13;-;81
"291190 IACU";-;5;102;46;5;3;14;266;7;4;9;101;10;572
"291200 IBIASSUCE";-;2;3;12;2;1;9;237;1;6;69;437;15;794
"291210 IBICARAI";-;16;878;2165;159;96;59;128;5;83;22;38;32;3681
"291220 IBICOARA";-;2;3;22;-;-;179;8;1;82;34;1239;2;1572
"291230 IBICUI";-;-;21;170;24;1;3;161;14;43;195;387;18;1037
"291240 IBIPEBA";-;-;18;22;1;-;95;103;31;2;13;298;5;588
"291250 IBIPITANGA";-;2;51;11;1;1;27;86;-;58;269;423;7;936
"291260 IBIQUERA";-;1;16;12;-;-;2;79;-;-;3;4;-;117
"291270 IBIRAPITANGA";-;2;8;16;2;1;-;43;3;5;10;19;2;111
"291280 IBIRAPUA";-;-;80;216;526;1;2;38;-;8;73;14;113;1071
"291290 IBIRATAIA";-;65;86;203;29;-;53;309;3;8;215;118;2;1091
"291300 IBITIARA";-;19;1;-;-;-;59;55;5;1;144;816;16;1116
"291310 IBITITA";-;9;1;1;-;-;238;112;3;190;25;157;8;744
"291320 IBOTIRAMA";-;20;276;52;10;153;28;35;476;33;16;722;375;2196
"291330 ICHU";-;40;47;18;2;1;120;78;2;1;29;241;7;586
"291340 IGAPORA";-;12;13;35;2;16;22;6;134;4;12;193;8;457
"291345 IGRAPIUNA";-;1;1;13;-;-;30;7;-;-;13;64;16;145
"291350 IGUAI";-;-;-;5;-;-;19;358;48;3;1;73;24;531
"291360 ILHEUS";-;632;5256;5180;159;162;598;512;101;982;877;3176;2891;20526
"291370 INHAMBUPE";-;8;2;1;4;1;131;158;15;5;4;62;7;398
"291380 IPECAETA";-;2;75;1;15;10;113;31;1;-;5;243;3;499
"291390 IPIAU";-;47;118;1070;34;1;232;864;169;25;11;60;12;2643
"291400 IPIRA";-;9;83;3;5;11;32;48;3;18;10;349;22;593
"291410 IPUPIARA";-;-;1;3;4;30;168;71;133;137;2;194;327;1070
"291420 IRAJUBA";-;-;3;9;-;-;-;205;-;-;-;12;10;239
"291430 IRAMAIA";-;12;-;6;-;-;82;127;-;7;1;20;3;258
"291440 IRAQUARA";-;1;-;5;11;8;510;724;3;58;992;598;45;2955
"291450 IRARA";-;23;26;2;2;-;159;493;2;-;11;38;11;767
"291460 IRECE";-;7;24;25;42;14;705;683;371;1545;169;2969;192;6746
"291465 ITABELA";-;38;108;100;34;1;6;4;3;29;49;54;21;447
"291470 ITABERABA";-;114;996;1109;91;20;555;2956;151;608;542;2481;48;9671
"291480 ITABUNA";6;997;7225;18778;525;60;58;449;357;2280;1368;514;2159;34776
"291490 ITACARE";-;3;150;513;80;11;43;345;5;69;47;183;17;1466
"291500 ITAETE";-;1;10;9;1;-;-;281;-;20;11;88;2;423
"291510 ITAGI";-;1;5;5;1;-;-;3;2;12;157;41;3;230
"291520 ITAGIBA";-;14;10;374;5;-;24;206;23;10;75;362;59;1162
"291530 ITAGIMIRIM";-;-;4;22;32;2;-;40;-;89;168;19;11;387
"291535 ITAGUACU DA BAHIA";-;-;3;4;1;9;1;27;31;25;10;132;12;255
"291540 ITAJU DO COLONIA";-;1;4;48;4;-;-;8;-;9;2;5;1;82
"291550 ITAJUIPE";-;15;17;336;23;5;17;44;40;391;92;115;61;1156
"291560 ITAMARAJU";-;9;41;110;17;16;21;71;176;49;52;790;203;1555
"291570 ITAMARI";-;-;-;-;1;2;14;28;11;5;30;113;4;208
"291580 ITAMBE";-;-;4;39;2;-;4;103;11;135;12;395;31;736
"291590 ITANAGRA";-;-;-;2;-;-;1;3;1;2;2;19;5;35
"291600 ITANHEM";-;3;9;37;12;19;27;557;1;12;42;54;9;782
"291610 ITAPARICA";-;13;73;67;6;1;15;76;4;8;52;38;26;379
"291620 ITAPE";-;13;128;205;7;1;1;12;3;69;172;73;69;753
"291630 ITAPEBI";-;22;36;73;102;6;6;14;27;191;111;153;113;854
"291640 ITAPETINGA";-;3;131;1670;22;1;5;408;157;25;24;855;111;3412
"291650 ITAPICURU";-;9;2;1;2;-;24;115;7;4;5;6;25;200
"291660 ITAPITANGA";-;1;-;169;4;1;2;-;-;13;1;19;10;220
"291670 ITAQUARA";-;1;-;-;-;-;-;156;1;-;-;55;3;216
"291680 ITARANTIM";-;1;20;-;12;-;-;25;4;25;7;85;78;257
"291685 ITATIM";-;5;24;6;-;-;6;23;2;9;7;25;1;108
"291690 ITIRUCU";-;6;10;3;-;-;15;98;45;15;35;52;7;286
"291700 ITIUBA";-;7;199;21;10;2;196;57;1;13;2;101;32;641
"291710 ITORORO";-;2;12;752;5;2;7;66;115;152;9;82;7;1211
"291720 ITUACU";-;52;5;6;11;3;-;42;4;4;94;54;28;303
"291730 ITUBERA";-;2;1;59;4;1;341;9;2;5;91;31;11;557
"291733 IUIU";-;1;102;54;1;-;15;3;63;118;22;914;9;1302
"291735 JABORANDI";-;5;15;11;4;30;21;326;101;23;31;258;4;829
"291740 JACARACI";-;1;3;3;-;-;222;547;7;9;90;1772;17;2671
"291750 JACOBINA";-;85;808;844;47;15;773;760;1080;637;56;1027;160;6292
"291760 JAGUAQUARA";-;4;12;19;3;5;10;1755;89;4;12;708;273;2894
"291770 JAGUARARI";-;33;31;341;2;2;12;210;4;55;147;95;14;946
"291780 JAGUARIPE";-;8;6;-;-;-;7;5;-;1;7;78;2;114
"291790 JANDAIRA";-;3;11;22;1;2;11;6;4;5;114;14;8;201
"291800 JEQUIE";4;315;2044;443;116;21;555;2583;109;74;222;492;56;7034
"291810 JEREMOABO";-;1;594;364;1;2;29;81;3;4;92;59;5;1235
"291820 JIQUIRICA";-;7;8;7;-;1;2;12;-;5;4;36;4;86
"291830 JITAUNA";-;3;20;19;-;-;2;13;-;1;20;23;2;103
"291835 JOAO DOURADO";-;-;2;7;1;-;122;27;39;33;7;229;10;477
"291840 JUAZEIRO";-;584;424;251;29;59;312;1694;124;944;123;1842;177;6563
"291845 JUCURUCU";-;3;3;1;-;-;1;-;-;59;14;296;14;391
"291850 JUSSARA";-;5;4;2;-;1;89;48;31;68;6;366;7;627
"291855 JUSSARI";-;10;76;93;5;-;9;26;3;5;22;110;5;364
"291860 JUSSIAPE";-;1;5;5;-;-;-;66;-;-;-;275;13;365
"291870 LAFAIETE COUTINHO";-;2;14;1;-;-;2;86;1;1;-;28;3;138
"291875 LAGOA REAL";-;4;24;22;-;-;28;78;4;9;115;315;153;752
"291880 LAJE";-;3;9;7;2;-;42;120;1;-;9;132;9;334
"291890 LAJEDAO";-;19;12;16;8;-;1;4;-;28;73;143;10;314
"291900 LAJEDINHO";-;5;9;-;-;-;6;8;1;-;-;5;14;48
"291905 LAJEDO DO TABOCAL";-;-;-;18;22;-;3;13;-;1;1;44;5;107
"291910 LAMARAO";-;5;74;9;5;1;73;136;-;1;2;84;-;390
"291915 LAPAO";-;3;4;6;1;-;118;109;8;210;41;193;13;706
"291920 LAURO DE FREITAS";-;82;221;44;26;15;201;149;14;77;408;236;105;1578
"291930 LENCOIS";-;1;14;33;-;7;86;160;4;6;412;190;9;922
"291940 LICINIO DE ALMEIDA";-;-;-;3;-;-;28;80;-;60;3;699;78;951
"291950 LIVRAMENTO DE NOSSA SENHORA";-;9;8;36;-;150;273;443;13;453;697;1518;110;3710
"291955 LUIS EDUARDO MAGALHAES";-;72;660;28;9;11;1337;127;1895;1285;49;2100;100;7673
"291960 MACAJUBA";-;1;4;4;2;-;16;45;3;411;55;86;1;628
"291970 MACARANI";-;-;1;138;-;-;-;150;64;120;-;172;33;678
"291980 MACAUBAS";-;94;614;103;5;43;400;131;280;36;145;1224;71;3146
"291990 MACURURE";-;-;361;63;1;-;2;-;-;1;7;236;1;672
"291992 MADRE DE DEUS";-;6;19;2;3;2;144;40;7;2;67;22;9;323
"291995 MAETINGA";-;-;-;3;1;-;-;-;-;1;1;154;45;205
"292000 MAIQUINIQUE";-;2;55;21;5;-;6;73;6;45;6;182;156;557
"292010 MAIRI";-;14;81;37;22;12;30;39;2;12;18;546;21;834
"292020 MALHADA";-;-;-;7;1;66;31;16;163;-;5;314;6;609
"292030 MALHADA DE PEDRAS";-;-;8;6;1;-;17;50;1;23;21;360;2;489
"292040 MANOEL VITORINO";-;5;12;128;9;8;17;283;3;12;4;273;46;800
"292045 MANSIDAO";-;-;-;7;-;-;-;-;254;-;-;108;1;370
"292050 MARACAS";-;8;48;13;4;7;229;113;11;273;74;379;30;1189
"292060 MARAGOGIPE";-;17;68;13;-;-;21;250;4;13;42;24;12;464
"292070 MARAU";-;5;5;46;-;-;15;136;-;33;13;749;27;1029
"292080 MARCIONILIO SOUZA";-;-;3;184;3;1;37;471;1;3;4;51;6;764
"292090 MASCOTE";-;3;24;542;-;-;1;36;-;37;22;7;28;700
"292100 MATA DE SAO JOAO";-;7;13;11;1;3;70;42;1;19;17;47;30;261
"292105 MATINA";-;8;1;48;-;9;53;-;168;13;49;355;14;718
"292110 MEDEIROS NETO";-;1;4;31;16;5;19;236;-;59;275;105;21;772
"292120 MIGUEL CALMON";-;11;33;21;1;5;24;33;19;4;15;1551;14;1731
"292130 MILAGRES";-;-;201;22;1;-;12;109;-;2;-;177;5;529
"292140 MIRANGABA";-;3;13;51;-;2;157;61;9;450;4;261;142;1153
"292145 MIRANTE";-;26;6;10;1;-;9;23;1;1;107;123;13;320
"292150 MONTE SANTO";-;61;224;37;1;-;290;6;-;-;-;258;1282;2159
"292160 MORPARA";-;41;-;-;-;24;4;199;1;6;7;42;24;348
"292170 MORRO DO CHAPEU";-;42;74;160;11;2;516;272;10;165;712;3406;102;5472
"292180 MORTUGABA";-;-;-;2;-;-;209;14;1;2;6;511;6;751
"292190 MUCUGE";-;1;-;4;1;-;14;-;-;-;9;143;6;178
"292200 MUCURI";-;150;133;295;153;29;456;147;236;69;242;840;312;3062
"292205 MULUNGU DO MORRO";-;6;18;4;-;-;114;54;2;10;17;52;7;284
"292210 MUNDO NOVO";-;20;23;53;44;-;-;12;1;-;3;60;5;221
"292220 MUNIZ FERREIRA";-;28;26;4;-;-;6;5;-;-;11;9;6;95
"292225 MUQUEM DE SAO FRANCISCO";-;11;1;-;-;-;6;-;262;14;3;104;51;452
"292230 MURITIBA";-;124;108;39;14;3;175;31;3;7;46;524;15;1089
"292240 MUTUIPE";-;9;6;2;-;1;8;36;1;2;4;73;10;152
"292250 NAZARE";-;5;1;46;-;-;8;13;-;-;59;62;7;201
"292260 NILO PECANHA";-;2;3;24;-;1;15;62;-;-;22;25;16;170
"292265 NORDESTINA";-;195;20;40;2;2;62;21;10;-;1;159;12;524
"292270 NOVA CANAA";-;-;1;8;2;-;2;79;270;22;102;277;131;894
"292273 NOVA FATIMA";-;-;1;-;5;-;194;209;2;47;32;257;16;763
"292275 NOVA IBIA";-;4;3;-;-;-;-;107;2;7;12;33;9;177
"292280 NOVA ITARANA";-;-;2;30;-;2;4;87;2;-;7;34;6;174
"292285 NOVA REDENCAO";-;-;5;56;1;-;40;222;-;-;39;69;11;443
"292290 NOVA SOURE";-;4;173;-;-;-;19;76;4;-;8;24;7;315
"292300 NOVA VICOSA";-;53;31;598;383;8;149;154;12;102;50;388;20;1948
"292303 NOVO HORIZONTE";-;5;1;21;3;1;36;13;8;7;286;667;14;1062
"292305 NOVO TRIUNFO";-;1;24;21;-;-;4;9;1;-;5;11;-;76
"292310 OLINDINA";-;-;75;1;1;-;112;47;-;2;8;26;1;273
"292320 OLIVEIRA DOS BREJINHOS";-;-;3;14;4;226;46;158;133;443;13;184;176;1400
"292330 OURICANGAS";-;-;4;-;-;-;4;138;1;3;23;24;2;199
"292335 OUROLANDIA";-;68;99;215;4;2;117;208;365;105;9;415;104;1711
"292340 PALMAS DE MONTE ALTO";-;1;8;10;1;4;111;69;46;14;44;669;141;1118
"292350 PALMEIRAS";-;30;2;6;2;2;158;174;1;7;50;349;47;828
"292360 PARAMIRIM";-;2;52;132;3;334;500;45;9;56;223;864;38;2258
"292370 PARATINGA";-;4;179;31;5;300;25;545;144;4;4;470;6;1717
"292380 PARIPIRANGA";-;2;103;94;-;31;301;57;1;60;8;652;28;1337
"292390 PAU BRASIL";-;-;42;655;14;1;2;6;3;17;7;34;92;873
"292400 PAULO AFONSO";-;8;281;589;6;4;132;322;20;86;30;167;20;1665
"292405 PE DE SERRA";-;44;46;17;-;24;47;110;3;5;11;128;7;442
"292410 PEDRAO";-;1;1;-;-;-;22;24;-;11;-;48;-;107
"292420 PEDRO ALEXANDRE";-;1;8;2;1;-;63;1;-;1;6;44;1;128
"292430 PIATA";-;-;-;1;-;-;1;1;-;55;105;450;3;616
"292440 PILAO ARCADO";-;1;13;19;4;164;8;3;4;184;25;110;8;543
"292450 PINDAI";-;-;7;100;-;-;105;6;35;109;3;1048;23;1436
"292460 PINDOBACU";-;24;51;4;9;2;9;17;1;20;1;25;27;190
"292465 PINTADAS";-;104;192;10;1;-;144;6;2;7;2;133;10;611
"292467 PIRAI DO NORTE";-;-;3;4;-;-;32;11;-;-;2;95;2;149
"292470 PIRIPA";-;6;5;126;-;1;-;160;4;264;453;1259;20;2298
"292480 PIRITIBA";-;104;24;59;4;1;51;50;-;2;2;860;-;1157
"292490 PLANALTINO";-;-;15;9;-;-;4;6;2;1;21;48;17;123
"292500 PLANALTO";-;1;8;476;-;-;1;75;13;28;32;1620;62;2316
"292510 POCOES";-;-;5;34;3;3;1;33;1;27;96;649;44;896
"292520 POJUCA";-;22;34;6;5;2;101;294;110;27;42;62;10;715
"292525 PONTO NOVO";-;9;59;49;1;1;25;4;1;-;1;142;2;294
"292530 PORTO SEGURO";-;9;31;81;60;13;107;124;32;732;846;1193;285;3513
"292540 POTIRAGUA";-;-;1;2;-;-;-;4;6;192;79;82;6;372
"292550 PRADO";-;4;13;53;20;7;36;81;13;41;57;340;39;704
"292560 PRESIDENTE DUTRA";-;6;20;82;6;-;69;416;44;17;31;262;5;958
"292570 PRESIDENTE JANIO QUADROS";-;4;11;6;-;1;20;28;7;12;5;1506;7;1607
"292575 PRESIDENTE TANCREDO NEVES";-;3;16;14;1;2;161;40;2;4;3;16;20;282
"292580 QUEIMADAS";-;1;23;48;1;1;25;16;-;-;-;55;103;273
"292590 QUIJINGUE";-;35;57;22;1;7;340;143;7;2;5;116;36;771
"292593 QUIXABEIRA";-;1;166;41;1;-;92;177;-;1;14;917;23;1433
"292595 RAFAEL JAMBEIRO";-;9;26;7;-;1;232;37;-;2;110;280;13;717
"292600 REMANSO";-;127;62;64;32;209;168;52;4;700;28;64;18;1528
"292610 RETIROLANDIA";-;6;92;34;2;-;16;50;-;2;2;295;375;874
"292620 RIACHAO DAS NEVES";-;1;31;6;17;6;54;59;53;4;4;77;2;314
"292630 RIACHAO DO JACUIPE";-;70;134;25;40;46;737;175;11;25;88;249;16;1616
"292640 RIACHO DE SANTANA";-;15;14;27;2;154;470;85;352;60;20;1338;69;2606
"292650 RIBEIRA DO AMPARO";-;-;18;120;-;2;2;-;-;-;1;13;3;159
"292660 RIBEIRA DO POMBAL";-;23;45;21;31;69;10;418;12;16;17;219;43;924
"292665 RIBEIRAO DO LARGO";-;-;-;9;-;-;2;49;1;3;5;132;7;208
"292670 RIO DE CONTAS";-;3;29;55;-;40;16;12;4;2;42;830;8;1041
"292680 RIO DO ANTONIO";-;3;1;6;1;1;-;101;1;9;27;83;29;262
"292690 RIO DO PIRES";-;-;7;31;13;6;16;84;77;17;4;141;46;442
"292700 RIO REAL";-;18;57;9;3;1;218;147;14;35;70;155;29;756
"292710 RODELAS";-;-;21;8;2;-;14;3;5;28;580;181;2;844
"292720 RUY BARBOSA";-;16;272;41;8;-;30;44;374;272;7;66;9;1139
"292730 SALINAS DA MARGARIDA";-;1;-;-;-;-;3;2;-;-;4;13;3;26
"292740 SALVADOR";5;3627;5707;3375;2097;1220;9325;11082;814;2567;12817;10480;3605;66721
"292750 SANTA BARBARA";-;1;274;5;6;2;441;62;1;1;3;245;2;1043
"292760 SANTA BRIGIDA";-;-;161;508;-;1;1;7;7;5;42;5;2;739
"292770 SANTA CRUZ CABRALIA";-;2;53;99;238;71;114;144;9;160;153;195;89;1327
"292780 SANTA CRUZ DA VITORIA";-;-;16;110;4;-;4;-;-;259;1;19;108;521
"292790 SANTA INES";-;-;3;14;-;-;1;13;-;-;3;38;4;76
"292800 SANTALUZ";1;7;532;130;49;4;38;370;7;12;13;628;332;2123
"292805 SANTA LUZIA";-;-;23;184;4;-;-;62;56;7;67;23;6;432
"292810 SANTA MARIA DA VITORIA";-;12;101;54;74;289;526;362;734;901;356;1933;147;5489
"292820 SANTANA";-;6;100;60;-;2;54;23;192;52;-;533;36;1058
"292830 SANTANOPOLIS";-;-;1;1;-;-;193;58;2;1;2;30;3;291
"292840 SANTA RITA DE CASSIA";-;5;11;14;50;5;14;306;494;55;263;658;36;1911
"292850 SANTA TERESINHA";-;2;33;7;-;-;18;90;3;2;4;28;11;198
"292860 SANTO AMARO";-;8;52;15;2;4;116;26;1;7;48;39;11;329
"292870 SANTO ANTONIO DE JESUS";-;18;71;45;14;9;519;916;9;17;1833;5203;431;9085
"292880 SANTO ESTEVAO";-;10;135;7;14;33;1621;287;32;50;94;614;102;2999
"292890 SAO DESIDERIO";-;21;20;5;9;20;58;21;294;96;11;573;46;1174
"292895 SAO DOMINGOS";-;4;230;24;2;3;24;224;-;6;7;200;42;766
"292900 SAO FELIX";-;8;27;5;-;-;78;113;1;-;32;36;11;311
"292905 SAO FELIX DO CORIBE";-;4;60;34;19;92;25;128;211;26;1;313;38;951
"292910 SAO FELIPE";-;19;5;6;-;-;9;4;1;3;14;471;13;545
"292920 SAO FRANCISCO DO CONDE";-;16;408;44;18;2;146;28;4;5;89;121;13;894
"292925 SAO GABRIEL";-;2;17;5;-;1;106;53;6;43;14;553;10;810
"292930 SAO GONCALO DOS CAMPOS";-;58;45;7;1;6;764;158;5;9;44;295;23;1415
"292935 SAO JOSE DA VITORIA";-;22;142;411;6;6;1;39;8;5;4;16;16;676
"292937 SAO JOSE DO JACUIPE";-;3;138;7;-;-;2;134;1;-;4;300;35;624
"292940 SAO MIGUEL DAS MATAS";-;-;8;2;-;1;5;21;-;-;4;138;7;186
"292950 SAO SEBASTIAO DO PASSE";-;32;54;10;5;3;415;91;12;5;95;150;11;883
"292960 SAPEACU";-;14;280;37;1;-;36;16;15;10;54;298;6;767
"292970 SATIRO DIAS";-;4;27;31;-;-;106;26;-;19;2;50;19;284
"292975 SAUBARA";-;1;3;1;-;1;5;7;1;1;-;17;1;38
"292980 SAUDE";-;5;24;51;2;-;22;7;1;3;1;103;1;220
"292990 SEABRA";-;103;52;340;2;1;610;1288;31;87;102;2209;264;5089
"293000 SEBASTIAO LARANJEIRAS";-;7;78;16;-;42;197;185;16;44;11;271;32;899
"293010 SENHOR DO BONFIM";-;46;200;411;24;5;124;523;12;10;7;412;33;1807
"293015 SERRA DO RAMALHO";-;-;47;101;-;33;43;13;172;57;3;98;18;585
"293020 SENTO SE";-;71;83;112;-;1;41;10;1;460;5;350;200;1334
"293030 SERRA DOURADA";-;5;29;24;-;25;133;20;60;15;3;310;33;657
"293040 SERRA PRETA";-;-;9;2;2;4;32;105;-;1;4;10;5;174
"293050 SERRINHA";2;107;1257;501;41;18;846;1475;5;5;38;4228;37;8560
"293060 SERROLANDIA";-;26;171;68;2;6;560;172;5;30;46;1065;60;2211
"293070 SIMOES FILHO";-;75;2498;416;443;9;293;1011;52;40;96;74;47;5054
"293075 SITIO DO MATO";-;-;81;2;1;322;19;169;33;102;6;210;-;945
"293076 SITIO DO QUINTO";-;10;108;29;1;5;9;25;1;6;4;28;3;229
"293077 SOBRADINHO";-;21;11;23;-;1;10;560;5;145;3;222;29;1030
"293080 SOUTO SOARES";-;1;112;27;-;7;256;297;34;47;111;496;71;1459
"293090 TABOCAS DO BREJO VELHO";-;1;2;3;-;18;3;2;1;74;-;141;4;249
"293100 TANHACU";-;33;2;1;1;97;56;273;-;7;10;100;11;591
"293105 TANQUE NOVO";-;13;117;44;5;3;88;3;-;-;84;117;1;475
"293110 TANQUINHO";-;-;118;7;22;5;154;174;6;2;20;112;8;628
"293120 TAPEROA";-;4;150;17;1;1;129;61;10;-;8;77;56;514
"293130 TAPIRAMUTA";-;29;30;92;610;9;25;15;3;-;3;631;-;1447
"293135 TEIXEIRA DE FREITAS";2;136;174;886;300;353;404;588;33;1192;1443;4659;1467;11637
"293140 TEODORO SAMPAIO";-;3;4;-;-;-;13;35;2;2;33;19;4;115
"293150 TEOFILANDIA";-;23;71;4;2;-;118;127;-;3;4;95;4;451
"293160 TEOLANDIA";-;2;14;2;-;1;16;4;7;33;1;218;5;303
"293170 TERRA NOVA";-;6;12;1;-;-;488;30;11;4;3;35;2;592
"293180 TREMEDAL";-;4;58;242;12;-;3;48;-;3;13;670;59;1112
"293190 TUCANO";-;23;156;42;6;-;124;399;5;21;32;110;68;986
"293200 UAUA";-;33;12;152;1;4;10;143;-;256;24;195;123;953
"293210 UBAIRA";-;6;23;6;-;-;116;260;31;37;11;294;5;789
"293220 UBAITABA";-;6;51;25;3;2;4;78;1;8;35;22;10;245
"293230 UBATA";-;15;10;223;3;-;2;67;2;2;1;55;3;383
"293240 UIBAI";-;8;85;18;15;1;201;524;4;26;2;86;3;973
"293245 UMBURANAS";-;3;5;3;-;-;27;26;124;52;-;212;3;455
"293250 UNA";-;3;161;241;7;1;6;32;134;48;9;28;17;687
"293260 URANDI";-;-;-;-;-;-;196;8;13;580;1;411;37;1246
"293270 URUCUCA";-;21;91;97;66;1;10;112;6;484;629;768;175;2460
"293280 UTINGA";-;11;9;21;-;3;16;24;2;11;14;89;5;205
"293290 VALENCA";-;47;177;505;1;25;131;202;16;7;5;1676;46;2838
"293300 VALENTE";-;41;508;41;6;4;66;1101;4;9;8;30;125;1943
"293305 VARZEA DA ROCA";-;2;367;101;-;-;60;77;-;1;1;422;33;1064
"293310 VARZEA DO POCO";-;3;428;3;-;-;3;1;-;-;3;191;5;637
"293315 VARZEA NOVA";-;3;18;1;1;3;32;44;255;-;192;442;24;1015
